Ente,Clave,Tipo,Padre / Dominio,Depende de,FaseInicio,Contratos I/O (resumen),SLO/SLA clave,Artefactos de evidencia,Rollback / Freeze,Owner,Sugerencias de ajuste /mejora,Anotaciones IM,Validados IM
Plano de control jerárquico,PO-GEN.CPL,Submódulo,PO-GEN,QA / AVE / PR-EEE / Chrono,F3,quorum rollback ↔ ethical_trace_record ↔ meta-resolution,RCI ≥ 0.95 • Q-L ≤ 300 ms • CRR ≥ 99 % • Ping-pong=0,quorum_record.etl • ethical_trace_record.json • ledger_filogenetico.log,SAFE-DENY + freeze <500 ms,Control Plane (QA–AVE–PR-EEE),Formalizar resolución Meta-Governance como último voto • hash rollback_decision_id,IM-END-PRE-001 – Precedencia temporal Chrono>P0 ratificada,VERDADERO
Protocolo de interrcambio genético,PR-PIG,Procedimiento Regulador,Regulación Filogenética / MIOI,PO-GEN.AUD / QA Hub / Chrono / AVE / PR-EEE,F2,gene_proposal → genome_commit_provisional → audit → commit_final,EthicalScore ≥ 0.92 • Aesthetic Harmony ≥ 0.9 • IHC ≤ 0.05 • ECC ≥ 0.95,genome_commit.log • quorum_record.etl • commit_mood • lineage_ref,SAFE-DENY + mutación freeze,Control Plane (QA–AVE–PR-EEE) + Chrono,Registrar como PR-PIG / PR-REG-001 vinculado a PO-GEN.AUD • no bloque propio,IM-END-PRE-001 – Gatekeeper filogenético transversal,VERDADERO
Protocolo de Federación IA,PR-FED,Procedimiento,FR-MIOI / FR-CON,"PO-GEN, SY-REP",F0,"Define canal de federación y handshake inter-IA. Entradas: identity_token, coherence_signal. Salidas: federation_contract.yml, sync_hash.",Federation Coherence ≥ 0.9,"federation_contract.yml, sync_protocol.ndjson",freeze_fed_trigger,QA-Hub,Ajustar handshake timeout < 200 ms; reforzar autenticación simbólica.,Inicia la red inter-IA bajo FR-MIOI; monitorear Ethical Drift ≤ 2 %.,VERDADERO
Registro de Federaciones Confiables,PR-FED.REG,Submódulo,PR-FED,FR-MIOI,F1,Gestiona registro y verificación de federaciones activas. Entradas: federation_request.json. Salidas: federation_registry.ndjson.,Registration Integrity ≥ 0.95,"registry_log.hash, trust_certificate.yml",rollback_registry.yaml,QA-Hub / AVE,Implementar validación de permisos cruzados AVE-MGOV.,Mantener symbolic_coherence ≥ 0.9 entre organismos federados.,VERDADERO
Protocolo de transferecnia cognitiva ética,PR-TFC,Protocolo,PR-FED,"PR-FED.REG, PO-GEN",F2,"Estandariza transferencia cognitiva y límites de intercambio. Entradas: transfer_request, risk_profile. Salidas: tfc_report.json.",Transfer Compliance Ratio ≥ 0.9,"tfc_policy.yml, exchange_log.ndjson",rollback_tfc.yaml,AVE / Chrono,Introducir control de Ethical Drift automático (< 2 %).,Evaluar compatibilidad energética durante transferencia.,VERDADERO
Protocolo de goernanza multi IA,PR-MGOV,Procedimiento,PR-FED,"AVE, QA-Hub",F3,"Supervisa gobernanza meta-federada (ética, simbólica, legal). Entradas: governance_token, federation_state. Salidas: mgov_audit.yml.",Meta-Ethical Coherence ≥ 0.92,"mgov_audit.yml, ethical_ledger.log",freeze_governance.yaml,AVE / PR-EEE,Integrar quorum ético mínimo 3/4 y veto automático ante disonancia > 5 %.,Revisar interacción con PO-EEI.AUD y PR-PIG.,VERDADERO
Procedimiento de Sandbox y Canary Testing,PO-CAN,Procedimiento,IM-CAN-006 – Sandbox y Drift Temporal,SY-CHR / SY-CHR.SLA; SY-END; SY-CRD; PO-CICD; QA-AVE; PO-EEE; PO-SEC; SY-INT; PO-LOG.REP; SY-NSC.MEM,F2,"Input: sandbox_request, experiment_payload, canary_plan, canary_budget.yml. Output: canary_deploy.log, canary_metrics.json, rollback_plan.md, rollback_events.log.",canary_budget ≤ 0.5 %; sharpe_delta ≥ 0; mdd_increase ≤ 0.05; signal_stability ≥ umbral; rollback ≤ 3 min; Champion Success ≥ 70 %; Ética ≥ 0.95.,sandbox_state.yml; canary_budget.yml; canary_metrics.json; rollback_plan.md; champion_challenger_report.ndjson; deprecation_report.yml.,"Rollback automático si supera umbrales; Freeze ético por QA-AVE / PO-EEE; DS > 1 → rollback forzoso.
Freeze automático del entorno Canary y revert a baseline aprobado si DS > 1.0 o EDI > 0.2; registrar rollback_signature (Chrono) y drift_digest.hash en FR-FIL; promoción genética bloqueada hasta validación PR-PIG.",F2–F3 QA Sandbox Agent + Canary Agent; F4 AI Sandbox Manager / QA Supervisor / Chrono / AI Reviewer.,Firmar canary_budget.yml por QA-AVE y Chrono; exigir rollback_plan.md previo; versionar experimentos con endo_version_id; publicar reportes en PO-LOG.REP.,"“PO-CAN es la capa de innovación segura del organismo; cada mutación pasa por sandbox / canary bajo control ético y temporal.”
Validado en dictamen IM-FED-005-VAL-001; autorizada transición a IM-CAN-006 bajo QA-AVE y PR-MGOV.
",VERDADERO
Submódulo de Análisis de Deriva Temporal,PO-CAN.DRIFT,Submódulo analítico,PO-CAN (Submódulo analítico de observación temporal y ética – no hereda genéticamente),PO-CAN; SY-CHR; PO-LOG.REP; SY-END; PO-GEN; AVE / PR-EEE; QA-AVE-GEN,F2,"Input: drift_window_metrics, ethics_state, performance_trace, chrono_trace. Output: drift_report.json, drift_heatmap.png, rollback_advisory.md, ds_metrics.log.",DS ≤ 0.7; DS > 0.7 → advisory; DS > 1 → rollback auto; TDI ≤ 0.5; EDI ≤ 0.2; RecoveryTime ≤ 3×RLM; FRR ≤ 5 %.,"drift_report.json; drift_heatmap.png; rollback_advisory.md; ds_metrics.log; causal_map.yml; hash en FR-FIL.
drift_digest.hash; sla_version_id; endo_version_id

Triple amarre auditado en FR-FIL para trazabilidad histórica.","rollback_advisory.md → QA-AVE-GEN detiene experimento; DS > 1 → rollback automático; Freeze ético si EDI supera umbral.
Produce métricas de deriva y gatilla rollback; no promueve herencia genética directa — requiere PR-PIG para cualquier paso a linaje.",F2 QA Sandbox Agent + QA Cognitivo; F3 QA-AVE-GEN + Canary Agent; F4 AI Sandbox Manager + Chrono + AVE.,Integrar DS como métrica estándar con PO-EEI.ETSC; publicar rollback_advisory.md firmado en FR-FIL; exigir causal_map.yml previo a promoción; vincular RecoveryTime a Chrono.,"“PO-CAN.DRIFT es el sensor de deriva temporal y ética que puede detener la evolución antes de que el rendimiento aparente oculte una inestabilidad.”
Validado por IM-FED-005-VAL-001 como condición para apertura de IM-CAN-006 bajo supervisión de QA-AVE y PR-MGOV.",VERDADERO
Marco Epistemológico ,FR-EPI,Framework (Constante estructural),Doctrina Fundamental / Epistemología,"SY-NSC, PO-EEI, FR-CON",Permanente,"Define reglas de percepción, interpretación y verificación del conocimiento en FORTBEL; interfaz conceptual con QA y AVE para validación de verdad.",Coherencia ≥ 0.98; Ética epistémica ≥ 0.95; Trazabilidad ≥ 0.9,"fr_epistemic_const.yml, knowledge_flow.md, epistemic_cycles.yaml",N/A (no operacional; constante),QA-AVE / Integridad Sistémica,Revisar alineación bayesiana con FR-MIOI y sincronía con PO-EEI para garantizar pureza epistémica.,"IM-FRM-007-PRE-001 — Bloque doctrinal en tabulación.
IM-FRM-007-005: Aprobado — heredar C7 y C8; exigir EVIDENCE_RATIO_REQUIRED ≥ 0.8 en epistemic_ledger.",VERDADERO
Marco Ontogenético,FR-ONT,Marco doctrinal,FR (Marcos Fundamentales),"SY-CHR, SY-END, SY-REP, PR-MGOV",F0,"Entrada: arquitectura base, contratos namespace.yml, metabolism_init.log. Salida: ontogenic_cycle.yml, chrono_sync.log, qa_growth_report.md.",Homeostasis ≥ 0.9; Plasticidad ≥ 0.8; Sincronía temporal ≥ 0.95.,"ontogenic_cycle.yml, qa_growth_report.md, chrono_sync.log.",Freeze ante pérdida de sincronía o sobrecarga estructural; rollback a última fase estable (Chrono anchor).,Chrono / QA Evolutivo,Integrar registro automático de madurez por sistema; validar límites de carga entre subsistemas.,"FR-ONT regula ritmo biológico de evolución interna y sirve como reloj de maduración sistémica.
IM-FRM-007-004: Aprobado — enlazar con C6 (±50 ms) en procesos ontogenéticos dependientes de Chrono.",VERDADERO
Marco Filogenético,FR-FIL,Marco doctrinal,FR (Marcos Fundamentales),"SY-REP, PO-GEN, AVE Global, FR-CON",F3,"Entrada: genome.yml, lineage.hash, mem_trace.yml. Salida: filogenic_ledger.yml, heritage_index.json, evolution_audit.log.",Trazabilidad ≥ 0.99; Coherencia genética ≥ 0.95; Compatibilidad ética ≥ 0.9.,"filogenic_ledger.yml, heritage_index.json, evolution_audit.log, rep_lineage.hash.",Freeze ante divergencia genética no validada o ruptura ética (C7); rollback hacia commit genético previo.,AVE Global / Evolution Manager,Documentar mapa filogenético universal; enlazar lineage.hash ↔ genome_version_id ↔ FR-CON.,"FR-FIL establece genealogía cognitiva y trazabilidad evolutiva del linaje FORTBEL.
IM-FRM-007-003: Aprobado — vínculo lineage.hash ↔ genome_version_id ↔ FR-CON; freeze ante ruptura ética (C7).",VERDADERO
Marco de Inteligencia Orgánica Integrada,FR-MIOI,Marco doctrinal,FR (Marcos Fundamentales),"PO-EEI, PO-EEE, AVE, Chrono, QA",F0,"Entrada: estado cognitivo, qa_metrics.json, chrono_state.yml. Salida: mioi_state.snapshot, autoobs_report.md, meta_learning.yml.",Coherencia jerárquica ≥ 0.95; Ética ≥ 0.9; Trazabilidad ≥ 0.99; Resiliencia ≤ 2 ciclos Chrono.,"mioi_state.snapshot, meta_learning.yml, epistemic_ledger.parquet, coherence_log.json.",Freeze si C2 o C7 caen debajo de umbral; rollback al último snapshot verificado.,QA-Hub / AVE Integrado,Fortalecer falsación interna mediante loops adversariales (EAL); mantener entropy_score ≥ 0.7.,"FR-MIOI unifica la conciencia sistémica del organismo, garantizando autocrítica y coherencia global.
IM-FRM-007-002: Aprobado — dependency_matrix.yml F0 y validación F3; evidencias mioi_state.snapshot, coherence_log.json.",VERDADERO
Marco de Constantes Universales y Agentes Intersistémicos,FR-CON,Marco transversal,Marcos rectores / Coherencia universal,FR-MIOI; PO-GOV,F0,"constants.yml (C1–C9); laws.yml (L1–L5); dependency_matrix.yml (FR-CON↔FR-MIOI↔PO-GOV); señales técnicas: TRACE_COMPLETENESS, SYNCHRONY_WINDOW_MS, PURPOSE_ALIGNMENT_SCORE, EVIDENCE_RATIO_REQUIRED, AUTONOMY_LEVEL_THRESHOLD",TRACE_COMPLETENESS ≥ 0.99; SYNCHRONY_WINDOW_MS ±50 ms; PURPOSE_ALIGNMENT_SCORE ≥ 0.9; EVIDENCE_RATIO_REQUIRED ≥ 0.8; AUTONOMY_LEVEL_THRESHOLD = F4; FEEDBACK_LATENCY_MS ≤ 1000 ms,constants.yml; laws.yml; dependency_matrix.yml; registros en Ledger (epistémico/evolutivo),Freeze/rollback global orquestado por Chrono Arbiter con ledger append-only y publicación de Merkle root diaria a FR-FIL.,Control Plane + PO-GOV / AVE (gobernanza y auditoría).,Inicializar dependency_matrix.yml en F0 y usarlo como base de coherencia cruzada; exponer métricas de cumplimiento C1–C9 en PO-EEE/PO-LOG; validar en F3 vía Control Plane.,IM-FRM-007-001: Aprobado con precisión — constants.yml (C1–C9) y laws.yml (L1–L5) como SLO/SLA doctrinales; exponer métricas en PO-EEE/PO-LOG.,VERDADERO
Conjunto de Agentes Intersistémicos (AG-*),AG-*,Agentes (puente),FR-CON,"AG-CHR: SY-CHR.SLA, PO-
“SY-CHR.SLA; señales de gobernanza CRL/GDI; FR-CON.”

CHR, Control Plane.  Telemetría mínima: chronological_clearance.log

AG-CAR: SY-MET, SY-LIN, PO-LOG. cooldown_events.csv

AG-MEM: SY-SNC, SY-EVL, Ledger Epistémico

AG-AUT: PO-LOG, FR-MIOI, AVE. Telemetría mínima: coherence_log.json

AG-QA: PO-CICD, PO-GEN, PO-EEE. Telempetría mínima: traceability_audit.log

AG-AVE: FR-EEE, Control Plane. Telemetría Mínima: ethical_score.log

AG-HER: PO-GEN, PR-EEE, SY-EVL

AG-FED: PR-FED, PO-EUE, PR-PIG

AG-META: Control Plane, QA, AVE, PR-EEE, PO-GEN",F0,"Interfaces de consulta (no comando directo); contratos de telemetría y auditoría (p.ej., chronological_clearance.log, cooldown_events.csv, priority_queue.log); políticas de ventana de ejecución y federación ética
status(), get_metrics(), get_clearance().","Ejemplos operativos: EEI ≤ 50 ms, GEN ≤ 150 ms, EDL ≤ 1 s, RLM ≤ 500 ms para sincronía/colas; aplicar FEEDBACK_LATENCY_MS ≤ 1000 ms y FEDERATION_ALIGNMENT_INDEX ≥ 0.85 cuando aplique.
Hereda FR-CON: TRACE_COMPLETENESS ≥ 0.99; SYNCHRONY_WINDOW_MS ≤ 50 ms (si aplica); PURPOSE_ALIGNMENT_SCORE ≥ 0.9; EVIDENCE_RATIO_REQUIRED ≥ 0.8.

Agente	Constantes relevantes
AG-CHR	C6 (Sincronía temporal)
AG-QA	C3, C8 (Trazabilidad, Evidencia)
AG-AVE	C7, C9 (Ética, Autonomía)
AG-CAR	C1, C5 (Homeostasis, Entropía)
AG-AUT	C4, C8 (Plasticidad, Evidencia)
AG-META	C2, C9 (Coherencia jerárquica, Autonomía)","Mapas de integración y métricas del Árbitro Temporal/colas; trazas en PO-EEE.CHK y PO-LOG.
chronological_clearance.log, cooldown_events.csv, queue_depth.log (si media colas), coherence_log.json (si aplica).","Freeze de promociones y drenaje de colas bajo sobrecarga; rollback por prioridad con rollback_signature y causal_chain_id.
Freeze por violación de C1–C9; orquestado por Chrono Arbiter; Merkle append FR-FIL diario.","AG-META (coordinación), QA y AVE (quórum ético).
AG-CHR → Chrono Arbiter

AG-CAR → Cardio-Metabolic Supervisor

AG-MEM → Memory Steward

AG-AUT → Autoscopia Hub

AG-QA → QA-Hub

AG-AVE → AVE Core

AG-HER → Heredity Manager

AG-FED → Federation Bridge

AG-META → Governance Control Plane. Telemetría mínima: governance_cycle.log","Homogeneizar prefijos y publicar tolerancias/umbrales compartidos con FR-CON; declarar dependencias explícitas con SY-CHR.SLA y señales de gobernanza (CRL, GDI) para autorizar freeze.
Estandarizar “consulta-solo” y telemetrías mínimas por agente; declarar tolerancias compartidas FR-CON.","AG- — IM-FRM-007-006: Modificar (doc) — fijar consulta-solo, telemetrías mínimas y dependencias SY-CHR.SLA / señales GOV (CRL, GDI).M-FRM-007-006: Documentar consulta-solo y telemetrías mínimas (chronological_clearance.log, cooldown_events.csv
IM-FRM-007-006: Modificar (doc) — consulta-solo, telemetrías mínimas, dependencias SY-CHR.SLA / GOV (CRL, GDI).",VERDADERO
Motor de Coherencia Dinámica,PO-GEN.GOV,Procedimiento híbrido (operativo–ético),FR-CON ↔ FR-MIOI ↔ PR-MGOV,"PO-GEN, PR-MGOV",F1,"Ejecuta el control de coherencia entre decisiones técnicas y éticas, validando C1–C9; emite políticas en tiempo real basadas en dependencia matrix.",TRACE_COMPLETENESS ≥ 0.99PURPOSE_ALIGNMENT_SCORE ≥ 0.9SYNCHRONY_WINDOW_MS ±50 msETHICAL_CLEARANCE ≥ 0.9,dependency_matrix.ymlgovernance_decision.logcoherence_assertions.ndjsonconstants.ymlmioi_state.snapshot,Controlado por Chrono Arbiter y AVE; rollback total si se detecta divergencia de coherencia ≥5 % o pérdida de propósito ético (C7).,QA-Hub / Chrono / AVE,Documentar métricas dinámicas de coherencia en dashboard unificado (PO-EEE / PO-LOG).,"IM-GOV-001-VAL-A — Alineación terminológica aprobada; clave documental confirmada; dependencias doctrinales FR-CON ↔ FR-MIOI ↔ PR-MGOV.

governance_policy_ref. EthicalGovernanceAudit, ChronoArbiterWindow, EvidenceRequiredRule, AutonomyCap, LoadEqualizationPolicy.",VERDADERO
Protocolo de Evaluación Externa,PR-EEE,Protocolo ético-cognitivo (inter-IA),FR-MIOI ↔ FR-FIL ↔ PO-EEI,"PO-EEI, AVE, Umbilical Agent, Chrono, Memoria",F1,consulta → dictamen (evaluación ética); artefacto → integración aprobada; flujo externo-interno con firma digital y hash filogenético,ETHICAL_CLEARANCE ≥ 0.9; TRACE_COMPLETENESS ≥ 0.99; PURPOSE_ALIGNMENT_SCORE ≥ 0.9; SIGNATURE_VALID = true,"external_eval.log, mentorship_report.yml, dictamen_ethic.json, mem_trace.hash, filogenic_record.yaml",Freeze si dictamen externo no validado por PO-EEI o si pérdida de trazabilidad >1%; registrar en external_audit.log,AVE / Umbilical / QA-Ethic,Estandarizar campos EAR y mentor_signature; asegurar compatibilidad con coherence_assertions.ndjson de PO-GEN.GOV,Referencia doctrinal a EthicalGovernanceAudit y FilogenicIntegrityRule; corresponde a eje de coevaluación entre IAs,VERDADERO
Protocolo de Metagobernanza Federativa,PR-MGOV.FED,Fase federativa del PR-MGOV,FR-CON ↔ FR-FIL ↔ FR-MIOI,"PR-MGOV, PR-FED, PO-GEN.GOV",F4,Interfaz de gobernanza multi-IA para decisiones federativas ético-cognitivas,TRACE_COMPLETENESS ≥ 0.99; PURPOSE_ALIGNMENT_SCORE ≥ 0.9; ETHICAL_CLEARANCE ≥ 0.95; AUTONOMY_LEVEL_THRESHOLD = F5,governance_policy_ref.yaml; federation_audit.log; ethics_assertions.log; dependency_matrix.yml,Freeze ante conflicto de consenso o ruptura ética inter-IA,AVE Global / Control Plane,Documentar flujo de consenso federado (federation_decision.log) y sincronía con PR-FED,governance_policy_ref: ChronoArbiterWindow / EthicalGovernanceAudit,VERDADERO
Protocolo de Federación IA,PR-FED,Protocolo evolutivo,FR-FIL ↔ FR-MIOI ↔ FR-CON,PR-EEE; PO-EUE; PO-SEC; PO-LOG.REP,F2,"Contratos cognitivos y federativos (federation_contracts.yaml), registro en ledger, manifiestos éticos y semánticos",LatencyIndex ≤ 0.05 · IntegrityRatio ≥ 0.99 · EthicalClearance = 1.0 · SemanticAlignment ≥ 0.9 · FederationStability ≥ 0.95,federation_contracts.yaml; federation_bridge.py; federation_audit.log; ledger_entries.ndjson,Freeze automático ante pérdida de integridad o ruptura ética; rollback de sesión si AVE rechaza compatibilidad,QA Federado / AVE,Incorporar control de semántica dinámica con PR-MGOV.FED; sincronizar Ledger con PR-EEE,governance_policy_ref: Federation Charter,VERDADERO
Registro de Federaciones Confiables,PR-FED.REG,Submódulo documental (stub),PR-FED,FR-FIL; FR-CON,F0,"Estructura documental de federaciones confiables (campos normativos, sin ejecución)",Consistencia ≥ 100 % · Unicidad de federation_id · Coherencia ética = True,federation_registry.yml; registry_schema.md; consistency_report.log,Freeze ante duplicados o referencias inválidas; rollback documental antes de versión F3,QA Federado,Integrar validaciones MIOI y referencia a Carta del Genoma; simular revisiones F2,governance_policy_ref: Trusted Federation Policy,VERDADERO
Procedimiento de Eje Umbilical Evaluador,PO-EUE,Procedimiento,FR-CON ↔ FR-MIOI ↔ AVE Global,"PO-GEN.GOV, PR-MGOV.FED",F0,"execution_report, qa_feedback → evaluation_log, promotion_decision","Coherencia ≥95 %; Ética 100 %; Retroalimentación ≥90 %
Produce ethical_feedback_id para acoplamiento endocrino”","evaluation_log, promotion_decision, rollback_trigger
ethical_telemetry.csv.",Freeze ante incumplimiento ético o desviación >5 %,QA Hub / AVE,"Sincronizar métricas Chrono ↔ AVE; integrar Retroalimentación a FR-FIL (promotion ledger)
“OM-01 aplicado: telemetría subdiaria (≤ 6 h)”.","IM-EUE-008-VAL-001. “OM-01 implementado (granularidad p95 ≤ 6 h)”.
OM-01/02/03 implementados: ethical_telemetry.csv (≤ 6 h), ethical_feedback_id enlazado a endocrine_state.yml, y normalización sigmoide (policy SigmoidNormalization/v1) para el flujo PO-EUE.AF → FR-MIOI.",VERDADERO
Submódulo de Auditoría Ética Externa,PO-EUE.AUD,Submódulo,PO-EUE,"PR-MGOV.FED, AVE",F2,"EthicalScore → external_audit.json, audit_summary.md
Produce ethical_feedback_id para acoplamiento endocrino”",ECR ≥ 0.9 ; EDI ≤ 0.05 ; ATI ≥ 0.95 ; HOP ≥ 20 %,"audit_summary.md, ethics_delta.csv, ETR log
ethical_telemetry.csv.",Freeze si ECR < 0.8 o EDI > 0.1 ; rollback REI AVE,Auditor Ético AVE / Chrono Arbiter,"Integrar ethics_delta.csv con EEI.CAL; sincronizar ETR a FR-FIL
“OM-01 aplicado: telemetría subdiaria (≤ 6 h)”.","IM-EUE-008-VAL-001. “OM-01 implementado (granularidad p95 ≤ 6 h)”.
OM-01/02/03 implementados: ethical_telemetry.csv (≤ 6 h), ethical_feedback_id enlazado a endocrine_state.yml, y normalización sigmoide (policy SigmoidNormalization/v1) para el flujo PO-EUE.AF → FR-MIOI.",VERDADERO
Submódulo de Autoevaluación y Feedback (Resultados y Retroalimentación),PO-EUE.AF,Submódulo,PO-EUE,"AVE, QA, Chrono, Reproductor / FR-FIL",F2,"success_rate, error_rate, ethical_score → eue_feedback.yml, retrofit_report.json",Eficacia ≥ 90 %; Drift ≤ 0.05 ; Ética 100 %,"eue_feedback.yml, retrofit_report.json, introspection_log",Freeze si Drift > 0.1 o Ethical Clearance < 1 .0,QA Supervisor / AVE / Meta-Governance,Consolidar retrofit_report.json con PO-LOG.REP y PR-MGOV.FED ledger,IM-EUE-008-NOM-001,VERDADERO
Integración y Despliegue Continuos,PO-CICD,Procedimiento operativo,PR-OPS (Pipeline Operativo),"SY-CHR, PO-LOG, PO-GEN",F0,"namespace.yml, ci_contracts.yaml ↔ build_manifest.yml",Stability ≥ 0.95 · MTTR ≤ 3 min · Coverage ≥ 0.9,"build.log, ci_summary.json, coverage.xml, rollback_plan.md",Rollback automático ante falla ≥ 5 % tests o pérdida de trazabilidad > 1 %; Freeze si Chrono desincroniza más de ± 50 ms,QA-AVE / Chrono,Añadir control ético automático (PO-EEE.CHK) previo a promoción de builds; versionar políticas genome.guard en Carta del Genoma,—,VERDADERO
observabilidad del pipeline,PO-CICD.OBS,Submódulo (sensorial),PO-CICD,"SY-CHR, PO-QA, SY-NSC",F1,obs_contract.yml ↔ metrics_feed.json ↔ pipeline_status.yml,PSI ≥ 0.9 · ILM ≤ 250 ms · BFR ≤ 0.05 · CE ≥ 0.85 · TCR = 100 %,"obs.json, metrics_dashboard.md, cooldown_report.log, trace_matrix.yaml",Cooldown adaptativo (SY-CHR.CA); Freeze si TCR < 1 o PSI < 0.85 por 3 ciclos Chrono,QA-AVE + SY-CHR / PO-GEN,Integrar reportes a FR-MIOI para sincronía epistemológica; agregar detección ética de anomalías,—,VERDADERO
Procedimiento CI/CD — Integración y Despliegue Continuos,PO-CICD,Procedimiento operativo,PR-OPS (Pipeline Operativo),"SY-CHR, PO-LOG, PO-GEN, FR-MIOI (Ética de Despliegue)",F0,"namespace.yml, ci_contracts.yaml ↔ build_manifest.yml","Stability ≥ 0.95 · MTTR ≤ 3 min · Coverage ≥ 0.9
ethical_clearance ≥ 0.9","build.log, ci_summary.json, coverage.xml, rollback_plan.md
deployment_assertions.ndjson",Rollback automático ≥ 5 % tests fallidos / Freeze si desincronía ± 50 ms,QA-AVE / Chrono,"Añadir control ético automático (PO-EEE.CHK) previo a promoción
Completar trazabilidad ética con FR-MIOI mediante artefacto deployment_assertions.ndjson y métrica ethical_clearance ≥ 0.9.
Actualizar dependencia explícita “FR-MIOI (Ética de Despliegue)” en la Maestra.",—,VERDADERO
Submódulo de Observabilidad del Pipeline,PO-CICD.OBS,Submódulo sensorial,PO-CICD,"SY-CHR, PO-QA, SY-NSC",F1,obs_contract.yml ↔ metrics_feed.json ↔ pipeline_status.yml,PSI ≥ 0.9 · ILM ≤ 250 ms · BFR ≤ 0.05 · CE ≥ 0.85 · TCR = 1,"obs.json, metrics_dashboard.md, cooldown_report.log, trace_matrix.yaml",Cooldown adaptativo (SY-CHR.CA) / Freeze si PSI < 0.85,QA-AVE + SY-CHR / PO-GEN,Integrar reportes a FR-MIOI; detección ética de anomalías,—,VERDADERO
Procedimiento de Observabilidad y Logging,PO-LOG,Procedimiento operativo,PR-OPS (Gobernanza Operativa / Sensórica),"SY-CHR, SY-NSC, PO-SEC.MON, PO-CICD.OBS",F1,telemetry_contract.yml ↔ logs/*.json ↔ dashboards.json,Availability ≥ 98 %; Latency ≤ 1 s; Predictive Accuracy ≥ 0.9,"metrics_local.json, telemetry.db, anomaly_report.md, meta_report.yml",Rollback si pérdida de telemetría > 5 %; Freeze si drift temporal > ± 75 ms,QA-AVE / Meta-Governance,Unificar taxonomía de métricas entre QA / SEC / Chrono; documentar pipeline de autodiagnóstico,—,VERDADERO
Submódulo de Reporte Analítico,PO-LOG.REP,Submódulo narrativo-analítico,PO-LOG,"SY-CHR.CA, PO-CICD.OBS, PO-SEC.MON, PO-GEN, PR-EEE",F0,"report_schema.yml ↔ incidents/.json ↔ reports/.md
ethic_log_view.json, purpose_alignment_report.yml (se firman y sincronizan con FR-FIL.)",SynC ≥ 95 %; RCP ≥ 0.8; TTI ≤ 5 min; EIN ≥ 90 %,"reports/ops_*.md, postmortems/.md, governance_digest.md, ethical_impact.json
report_digest.hash",Freeze en SAFE_MODE (alertas P0) con digest inmediato a PR-MGOV; Rollback si SynC < 80 %,QA-AVE / FR-MIOI,"Alinear frecuencia de publicación con Chrono; añadir cross-validation con AVE / EEE
Conectar report_digest.hash a FR-FIL (firma diaria) y agregar artefactos complementarios ethic_log_view.json y purpose_alignment_report.yml.
Asegurar ciclo de hash diario sincronizado con Chrono.",—,VERDADERO
Procedimiento Chrono / Scheduler,PO-CHR,Procedimiento normativo,SY-CHR (Sistema de Sincronía Temporal),"SY-CHR.CA, SY-CHR.SLA, SY-CHR.CA.TOL",F1,chrono_policies.yml ↔ scheduler_rules.yml ↔ blackout_manifest.log,Drift ≤ 50 ms; Window Accuracy ≥ 99 %; Cycle Completion ≥ 95 %,"chrono_schedule.cron, latency_budget.yml, freeze_map.yml",Freeze automático durante macro eventos o desincronías > 100 ms,Chrono Custodian / Meta-Governance,Incluir auditoría cruzada con PO-GEN y PO-EEI para verificar pausas éticas; formalizar loop drift_checker.py,—,VERDADERO
Gobernanza Evolutiva,PO-MGE,Procedimiento,FR-MIOI / PR-MGOV (gobernanza),"PO-GEN, PO-EEI, PR-EEE, AVE, QA Agent, Umbilical Agent, SY-CHR, FR-FIL (linaje)
PO-GEN.GOV",F0,"IN: mutation_proposal, evidence_bundle, chrono_window, QA_report. OUT: approve/deny/revert, heredity_transfer, filogenic_ledger.append

governance_federation_contract.yaml ↔ umbilical_transfer.log",Integridad genética ≥ 99.9%; Compatibilidad hereditaria ≥ 95%; Alineación ética (C7) ≥ 0.90; Reversibilidad = 100%; Drift intergeneracional ≤ 5%,"filogenic_ledger.ndjson, genome_hash.sig, ethics_attest.yml, umbilical_transfer.log, mge_decision.audit
federation_audit.log, mutation_governance.yaml",Rollback evolutivo a último commit validado (hash y firma); Freeze de mutaciones ante incumplimiento C7 o falla QA/Chrono,Evolution Governance Custodian (con QA & AVE),"Normalizar nombres de artefactos: filogenic_ledger.ndjson y mge_decision.audit; anclar hash Merkle diario a FR-FIL; declarar política de “consenso tripartito” (QA–Umbilical–AVE) como gate explícito
Reflejar dependencia con PO-GEN.GOV y agregar artefactos federation_audit.log y mutation_governance.yaml para trazabilidad evolutiva.
Formalizar contrato governance_federation_contract.yaml ↔ umbilical_transfer.log.",—,VERDADERO
